r_m,r_over_R,chord_m,twist_deg,phi_deg,alpha_deg,reynolds,cl,cd,a,a_prime,dthrust_n,dtorque_nm,local_solidity
11.326420111528794,0.28316050278821986,1.6217162448433025,10.63678159917956,19.882563121481684,9.245781522302124,2057670.848636439,1.424732957641676,0.011663307860630839,0.29162015907880157,0.055133881724081256,2305.999684108662,9204.788177693901,0.06836338952230517
12.964910390870006,0.32412275977175015,2.217347869948291,8.424501748557834,17.818693904896495,9.394192156338661,3141962.79535904,1.4433685513372256,0.011558010508902499,0.2881685511407498,0.04216267961102377,4031.5170586136446,16339.712219539555,0.08165930887692179
14.603400670211217,0.36508501675528043,2.3008710813212105,6.668411470624989,16.1707255324996,9.50231406187461,3608257.237478883,1.4506555049579737,0.011744257873849284,0.2829659311474001,0.03300819955317606,5194.096303888338,21330.712999767085,0.07522802687112094
16.241890949552428,0.40604727373881067,2.2276052041350494,5.243365790192674,14.799561930546822,9.55619614035415,3834780.093700248,1.4542763806317986,0.011843400898251635,0.2779828535277625,0.02636912026057836,6114.026364575959,25372.9601497357,0.06548517914506011
17.88038122889364,0.447009530722341,2.102597594317807,4.065333236632955,13.644090706783311,9.578757470150357,3946487.131560588,1.4557925019941038,0.011884913745076657,0.27302318374527346,0.021672017028177705,6901.580026055242,28890.139916438868,0.05614625261927582
19.518871508234852,0.4879717877058713,1.9661078146620292,3.076083552421291,12.65483883517799,9.578755282756699,3998064.681911127,1.4557923550012501,0.011884909720272327,0.268528161153614,0.018043273945759632,7604.364668719039,32056.406550394375,0.04809434457669072
21.157361787576065,0.5289340446894016,1.8345926277910587,2.23412894732575,11.795650641480941,9.561521694155191,4019583.879778641,1.4546342578472287,0.011853199917245552,0.2646026049480631,0.01523342971179126,8256.608588974083,34997.38333161571,0.04140182810188856
22.795852066917277,0.5698963016729319,1.7144987415266806,1.5091801444514714,11.037386215868285,9.528206071416813,4027786.882041292,1.4523954479992098,0.011791899171406935,0.2615202524843586,0.013021959733159649,8880.051629790456,37781.84371939852,0.035910605425643886
24.43434234625849,0.6108585586564622,1.6052397052771867,0.8786440628289378,10.367183718472958,9.48853965564402,4026209.066819268,1.4497275727904069,0.011720288207707714,0.2589012638060212,0.011254383641320444,9479.571060308728,40442.008713218056,0.03136755190565162
26.0728326255997,0.6518208156399925,1.506049999648423,0.3253462101247687,9.770171369091642,9.444825158966873,4017581.6903299773,1.4467812157143671,0.011645099273423023,0.25672621231711473,0.009821704557768436,10057.86108710929,42985.2853914749,0.02757989192385427
27.71132290494091,0.6927830726235228,1.4151959463583008,-0.16398980319961623,9.233235974899637,9.397225778099253,4001503.8490886036,1.4435730174438897,0.011563228338330716,0.25507705398568575,0.008644330106088543,10610.264639627214,45382.34804486175,0.024383761585020942
29.349813184282123,0.7337453296070531,1.330229989782897,-0.5997815658968345,8.747803071600682,9.347584637497517,3974472.5551409363,1.4402272045673326,0.01147784557649573,0.25389877944689904,0.007669493514323504,11124.233805994267,47579.11408365112,0.021640275220192125
30.988303463623335,0.7747075865905834,1.2477733999392717,-0.9903135456506457,8.305684066572235,9.29599761222288,3928508.626618075,1.436750239063822,0.011389115893023355,0.25324089926028437,0.0068556523330234225,11571.250168884955,49446.901787408184,0.019225573741915525
32.626793742964544,0.8156698435741137,1.1628363939134805,-1.3422536185498344,7.90006539551559,9.242319014065425,3848170.991053269,1.4331323015480095,0.011296788704192531,0.25316722461734964,0.006171512297340627,11895.040274036492,50738.65746375364,0.017017102099257837
34.26528402230576,0.8566321005576439,1.0674439951365782,-1.661027181783707,7.52549952325912,9.186526705042827,3704473.025554872,1.4293718999198866,0.011200825932673662,0.25372680242314316,0.005592700445784809,11986.755048150775,50988.210973559675,0.01487414972446933
35.90377430164697,0.8975943575411742,0.9478078953177512,-1.951092432658986,7.177140221694056,9.128232654353042,3442172.9247002285,1.425442880903395,0.011100560165487232,0.2549893960712438,0.005097454241114076,11632.162664210644,49290.06509664356,0.012604383347610293
37.54226458098818,0.9385566145247045,0.776866057764756,-2.2161458616153675,6.855637713423388,9.071783575038754,2946827.3204944977,1.421163431721941,0.011022271235402588,0.2565571431114729,0.0046709393490380734,10376.523741166846,43773.5551949075,0.009880230289266184
39.180754860329394,0.9795188715082348,0.6,-2.459277682988951,5.921477722376316,8.380755405365267,2371625.984513657,1.3645431819404301,0.010100343776150232,0.33062985000498923,0.004962163614957133,8369.40159850863,31559.93329146032,0.007311724814558694
