alpha,cl,cd
-8.0,-0.6728,0.01305
-7.75,-0.6375,0.01266
-7.5,-0.6022,0.01213
-7.25,-0.5705,0.01182
-7.0,-0.537,0.01138
-6.75,-0.503,0.01104
-6.5,-0.4689,0.01069
-6.25,-0.4404,0.01036
-6.0,-0.4113,0.01009
-5.75,-0.3815,0.00978
-5.5,-0.3555,0.00951
-5.25,-0.3278,0.00929
-5.0,-0.3013,0.00902
-4.75,-0.2745,0.00878
-4.5,-0.2477,0.00857
-4.25,-0.2208,0.00836
-4.0,-0.1939,0.00815
-3.75,-0.1669,0.00796
-3.5,-0.1398,0.00778
-3.25,-0.1127,0.0076
-3.0,-0.0856,0.00743
-2.75,-0.0584,0.00727
-2.5,-0.0311,0.00713
-2.25,-0.0039,0.00698
-2.0,0.0232,0.00685
-1.5,0.0771,0.00655
-1.25,0.1037,0.00638
-1.0,0.1302,0.00621
-0.75,0.1566,0.00607
-0.5,0.183,0.00595
-0.25,0.2093,0.00586
0.0,0.2354,0.00578
0.25,0.2612,0.00572
0.5,0.2866,0.00568
0.75,0.3119,0.00568
1.0,0.337,0.00572
1.25,0.3633,0.0058
1.5,0.392,0.00591
1.75,0.4242,0.00604
2.0,0.4589,0.00618
2.25,0.4968,0.00633
2.5,0.5348,0.00648
2.75,0.5734,0.00662
3.0,0.6124,0.00677
3.25,0.6396,0.0069
3.5,0.6636,0.00702
3.75,0.6877,0.00716
4.0,0.7117,0.0073
4.25,0.7357,0.00746
4.5,0.7596,0.00765
4.75,0.7836,0.00784
5.0,0.8072,0.00807
5.25,0.8306,0.00834
5.5,0.854,0.00864
5.75,0.8774,0.00897
6.0,0.9005,0.00934
6.25,0.9234,0.00975
6.5,0.9462,0.01018
6.75,0.9691,0.01062
7.0,0.9918,0.01108
7.25,1.0144,0.01154
7.5,1.0369,0.01202
7.75,1.0598,0.01245
8.0,1.0824,0.0129
8.25,1.1048,0.01336
8.5,1.1274,0.0138
8.75,1.1499,0.01422
9.0,1.1713,0.01473
9.25,1.1936,0.01514
9.5,1.2139,0.0157
9.75,1.2357,0.01611
10.0,1.2548,0.01671
10.25,1.2752,0.01719
10.5,1.2949,0.01768
10.75,1.3111,0.01838
11.0,1.3269,0.01897
11.25,1.343,0.0195
11.5,1.3581,0.02011
11.75,1.3692,0.02098
12.0,1.3806,0.02184
12.25,1.3947,0.02257
12.5,1.4074,0.0234
12.75,1.4191,0.02433
13.0,1.4277,0.0255
13.25,1.4292,0.02726
13.5,1.4384,0.02854
13.75,1.4481,0.02983
14.0,1.4565,0.03127
14.25,1.4642,0.03285
14.5,1.4707,0.0346
14.75,1.4747,0.03666
15.0,1.4746,0.03924
15.25,1.468,0.04261
15.5,1.4643,0.04582
15.75,1.4663,0.04851
16.0,1.4664,0.05148
16.25,1.4646,0.05479
16.5,1.4617,0.05833
16.75,1.4575,0.06213
17.0,1.4523,0.06614
17.25,1.4461,0.07038
17.5,1.439,0.07485
17.75,1.4308,0.07951
18.0,1.4217,0.08439
